"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat --time -v --net --output html.20190802-124235/dstat.csv 1 300",,,,"Date:","02 Aug 2019 12:42:36 CST"
"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,"net/total",
"time","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl","recv","send"
02-08 12:42:36,0,0,1.788,1101185024,45576192,2211840,1086410752,0,0,81441.484,24171.839,696.495,774.465,1.260,0.375,97.254,1.111,0,0,0
02-08 12:42:37,0,0,1,1103523840,43229184,2211840,1086410752,0,0,0,0,626,812,1.990,0.498,97.512,0,0,252,324
02-08 12:42:38,0,1,1,1103519744,43229184,2211840,1086414848,0,0,4096,303104,477,639,1.020,0.510,88.776,9.694,0,0,0
02-08 12:42:39,0,0,1,1103519744,43229184,2211840,1086414848,0,0,0,0,213,360,0.498,0,99.502,0,0,0,0
02-08 12:42:40,0,0,0,1103519744,43229184,2211840,1086414848,0,0,0,0,177,279,0.485,0,99.515,0,0,0,0
02-08 12:42:41,0,0,1,1103519744,43229184,2211840,1086414848,0,0,0,0,97,215,0,0,100,0,0,0,0
02-08 12:42:42,0,0,1,1103519744,43229184,2211840,1086414848,0,0,0,32768,186,302,0,0,100,0,0,0,0
02-08 12:42:43,0,0,1,1103519744,43229184,2211840,1086414848,0,0,0,0,231,361,0.495,0,99.505,0,0,0,0
02-08 12:42:44,0,0,2,1096204288,50544640,2211840,1086414848,0,0,0,3584,350,457,0.510,0.510,98.980,0,0,0,0
02-08 12:42:45,3,0,1,1096138752,50610176,2211840,1086414848,0,0,0,32768,231,362,0,0.503,98.995,0.503,0,0,0
02-08 12:42:46,0,0,0,1096138752,50610176,2211840,1086414848,0,0,0,0,633,699,0.508,0,99.492,0,0,0,0
02-08 12:42:47,0,0,1,1096138752,50610176,2211840,1086414848,0,0,0,0,1720,1690,0.515,0,99.485,0,0,0,0
02-08 12:42:48,0,0,1,1096138752,50610176,2211840,1086414848,0,0,0,32768,1764,1729,0,0,100,0,0,0,0
02-08 12:42:49,0,0,1,1096138752,50610176,2211840,1086414848,0,0,0,0,1757,1709,0.510,0.510,98.980,0,0,0,0
02-08 12:42:50,0,0,1,1096130560,50610176,2211840,1086423040,0,0,0,0,1874,1770,0.513,0,99.487,0,0,0,0
02-08 12:42:51,0,0,0,1096130560,50610176,2211840,1086423040,0,0,0,32768,1808,1730,0.515,0,99.485,0,0,0,0
02-08 12:42:52,0,0,1,1096130560,50610176,2211840,1086423040,0,0,0,0,1717,1695,0,0,100,0,0,0,0
02-08 12:42:53,1,0,1,1096130560,50610176,2211840,1086423040,0,0,0,0,1629,1685,0,0,100,0,0,0,0
02-08 12:42:54,0,0,1,1096130560,50610176,2211840,1086423040,0,0,0,32768,1776,1758,0,0,99.485,0.515,0,198,144
02-08 12:42:55,0,0,1,1096003584,50737152,2211840,1086423040,0,0,0,0,1780,1688,0.513,0,99.487,0,0,144,180
02-08 12:42:56,0,0,0,1096003584,50737152,2211840,1086423040,0,0,0,0,1683,1689,0,0,100,0,0,90,90
02-08 12:42:57,0,0,1,1096003584,50737152,2211840,1086423040,0,0,0,32768,1588,1604,0.521,0.521,94.271,4.688,0,0,0
02-08 12:42:58,0,0,1,1096003584,50737152,2211840,1086423040,0,0,0,0,1672,1666,0,0,100,0,0,288,198
02-08 12:42:59,0,0,2,1095970816,50769920,2211840,1086423040,0,0,0,0,1812,1737,0.515,0,99.485,0,0,1116,810
02-08 12:43:00,0,0,2,1095979008,50634752,2211840,1086550016,0,0,0,32768,1818,1700,3.608,1.546,94.330,0.515,0,1170,900
02-08 12:43:01,0,0,0,1095876608,50667520,2211840,1086611456,0,0,0,0,1402,1590,0.515,0.515,98.969,0,0,288,180
